id,shipment,number_customer_calls,customer_rating,product_cost,number_prior_purchases,product_importance,gender,discount,weight,weekday_of_purchase,week_of_purchase,on_Time
112,Ship,4,2,149,3,medium,M,26,1863,3,1,0
113,Ship,3,4,254,2,high,F,41,3973,3,1,0
114,Ship,3,4,145,8,low,F,24,1594,3,1,0
115,Ship,3,5,179,5,low,M,56,1113,3,1,0
116,Ship,5,4,168,3,low,F,13,1317,3,1,0
117,Ship,4,5,202,3,medium,F,46,3181,3,1,0
118,Ship,3,3,220,7,low,M,25,2141,3,1,0
119,Ship,3,2,244,8,low,F,50,3562,3,1,0
120,Ship,4,3,186,7,medium,F,30,2062,3,1,0
121,Ship,5,5,263,8,medium,F,9,2236,3,1,0
122,Ship,3,1,294,4,low,F,25,1498,3,1,0
123,Ship,4,1,139,3,low,F,56,1811,3,1,0
124,Ship,7,5,192,3,low,M,46,1550,3,1,0
125,Ship,3,3,235,3,low,M,5,3065,3,1,0
126,Ship,2,1,176,3,low,F,15,1996,3,1,0
127,Ship,5,4,224,3,low,F,34,2627,3,1,0
128,Ship,3,4,128,3,medium,F,51,1524,3,1,0
129,Ship,5,4,226,5,low,M,47,2240,3,1,0
130,Ship,5,1,160,5,medium,F,16,1526,3,1,0
131,Ship,3,1,197,5,low,M,45,2224,4,1,0
132,Ship,4,2,216,3,low,F,12,2273,4,1,0
133,Ship,4,4,199,2,low,M,9,3075,4,1,0
134,Ship,5,5,271,2,low,M,27,3957,4,1,0
135,Ship,5,1,201,3,low,F,47,2657,4,1,0
136,Ship,3,4,212,2,low,M,33,2021,4,1,0
137,Ship,3,2,177,3,low,M,10,1641,4,1,0
138,Ship,3,4,191,4,medium,F,43,2903,4,1,0
139,Ship,3,2,174,3,low,M,30,1986,4,1,0
140,Ship,5,3,162,2,low,F,14,1045,4,1,0
141,Ship,3,1,219,2,low,F,39,2696,4,1,0
142,Ship,4,4,155,3,medium,F,35,1421,4,1,0
143,Ship,5,3,230,3,medium,F,3,2923,4,1,0
144,Ship,4,5,192,2,medium,F,36,2497,4,1,0
145,Ship,5,2,235,3,low,M,14,2984,4,1,0
146,Ship,3,2,200,3,low,M,46,3642,4,1,0
147,Ship,5,2,172,3,medium,M,65,1667,4,1,0
148,Ship,5,4,160,4,low,F,6,1603,4,1,0
149,Ship,5,3,250,5,low,M,12,2722,4,1,0
150,Ship,4,2,174,3,low,M,9,1682,4,1,0
151,Ship,3,2,204,3,high,F,54,3608,4,1,0
152,Ship,3,5,274,3,medium,F,51,3476,4,1,0
153,Ship,5,5,262,2,medium,F,62,3744,4,1,0
154,Ship,4,5,138,3,medium,M,23,1785,4,1,0
155,Ship,3,1,215,3,medium,F,2,3873,4,1,0
156,Ship,3,1,145,2,low,F,34,1773,4,1,0
157,Road,4,5,149,2,medium,M,56,1141,4,1,0
158,Road,6,5,212,2,medium,M,38,2359,4,1,0
159,Road,3,1,155,3,medium,F,47,1193,4,1,0
160,Road,5,2,154,3,low,M,40,1238,4,1,0
161,Road,3,3,249,3,medium,M,51,2173,4,1,0
162,Road,5,1,206,2,low,M,2,3490,4,1,0
163,Road,4,5,235,3,medium,F,22,2015,4,1,0
164,Road,5,5,261,3,medium,F,8,3257,4,1,0
165,Road,6,1,243,4,high,F,22,3537,4,1,0
166,Road,3,2,237,2,high,M,26,3103,4,1,0
167,Road,2,4,179,2,low,F,19,1900,4,1,0
168,Road,4,3,192,3,low,F,43,3498,4,1,0
169,Road,3,1,141,3,medium,F,39,1838,4,1,0
170,Road,3,2,245,3,low,F,61,2188,4,1,0
171,Road,4,4,177,4,medium,F,32,1774,4,1,0
172,Road,2,3,154,4,high,F,17,1897,4,1,0
173,Road,4,4,228,3,medium,F,12,3359,4,1,0
174,Road,3,3,207,6,high,F,24,3702,4,1,0
175,Road,4,4,266,4,medium,F,33,2701,4,1,0
176,Road,3,3,172,3,medium,F,42,1707,4,1,0
177,Road,4,3,142,3,low,F,35,1512,4,1,0
178,Road,4,5,218,3,low,F,40,3200,4,1,0
179,Flight,3,3,231,2,low,M,46,2962,4,1,0
180,Flight,4,2,180,3,low,F,47,1434,4,1,0
181,Flight,3,1,168,3,low,M,46,1886,4,1,0
182,Flight,5,5,147,4,high,F,42,1642,4,1,0
183,Flight,5,4,245,5,low,M,6,3592,4,1,0
184,Flight,2,4,182,3,medium,M,47,3792,4,1,0
185,Flight,3,4,176,3,medium,F,8,1567,4,1,0
186,Flight,5,3,197,4,medium,F,51,2917,4,1,0
187,Flight,3,5,233,3,medium,M,52,3519,4,1,0
188,Flight,3,4,156,2,low,M,8,1145,4,1,0
189,Flight,2,3,257,4,medium,F,52,2073,4,1,0
190,Flight,5,4,250,3,low,F,11,3373,4,1,0
191,Flight,5,4,189,5,low,M,3,3301,4,1,0
192,Flight,3,3,255,2,high,M,7,3311,4,1,0
193,Flight,2,3,198,2,medium,M,28,3514,5,1,0
194,Flight,4,2,164,3,medium,M,15,1489,5,1,0
195,Flight,5,2,271,3,medium,M,32,3785,5,1,0
196,Flight,3,1,185,2,medium,F,34,3299,5,1,0
197,Flight,2,5,157,6,high,F,17,1764,5,1,0
198,Flight,3,2,137,2,medium,M,17,1673,5,1,0
199,Flight,3,3,229,3,low,M,14,2164,5,1,0
200,Flight,3,3,234,2,medium,F,39,2449,5,1,0
201,Ship,4,3,216,2,low,M,52,3578,5,1,0
202,Ship,3,1,163,4,low,F,20,1940,5,1,0
203,Ship,5,2,268,3,low,M,19,2526,5,1,0
204,Ship,3,3,205,5,medium,M,35,2988,5,1,0
205,Ship,4,5,265,2,medium,F,18,2969,5,1,0
206,Ship,2,2,236,3,medium,M,3,3416,5,1,0
207,Ship,4,1,132,3,low,M,63,1901,5,1,0
208,Ship,3,4,234,2,medium,M,46,3108,5,1,0
209,Ship,4,3,108,6,low,F,22,1745,5,1,0
210,Ship,4,2,276,2,low,M,54,3706,5,1,0
211,Ship,4,2,179,4,low,M,1,1063,5,1,0
212,Ship,4,1,230,3,medium,M,40,2225,5,1,0
213,Ship,3,2,210,3,medium,F,43,2096,5,1,0
214,Ship,3,2,173,3,low,F,15,1992,5,1,0
215,Ship,2,5,201,3,medium,F,29,3894,5,1,0
216,Ship,3,3,214,2,low,M,21,3342,5,1,0
217,Ship,4,2,216,2,medium,F,22,3024,5,1,0
218,Ship,2,5,144,3,medium,M,61,1313,5,1,0
219,Ship,5,5,182,3,medium,F,27,3039,5,1,0
220,Ship,3,3,163,2,medium,F,48,1369,5,1,0
221,Ship,3,3,234,3,medium,F,8,2334,5,1,0
222,Ship,3,2,158,3,high,F,59,1307,5,1,0
223,Ship,3,5,194,2,medium,M,4,3496,5,1,0
224,Ship,3,1,201,6,medium,F,3,2497,5,1,0
225,Ship,3,2,178,2,medium,F,59,1933,5,1,0
226,Ship,4,1,214,5,medium,M,51,2669,5,1,0
227,Ship,3,3,281,2,medium,M,55,3047,5,1,0
228,Ship,3,2,260,3,medium,F,2,2176,5,1,0
229,Ship,3,2,200,2,medium,F,46,3174,5,1,0
230,Ship,5,3,209,2,high,F,49,2581,5,1,0
231,Ship,3,1,185,3,low,M,61,3280,5,1,0
232,Ship,4,3,230,3,low,F,62,2236,5,1,0
233,Ship,3,4,134,3,medium,F,31,1540,5,1,0
234,Ship,4,5,270,2,low,F,34,2821,5,1,0
235,Ship,4,1,140,3,medium,F,1,1464,5,1,0
236,Ship,6,3,133,5,medium,M,32,1367,5,1,0
237,Ship,3,4,145,3,medium,M,44,1218,5,1,0
238,Ship,4,3,206,3,medium,M,58,2135,5,1,0
239,Ship,3,1,162,2,low,F,52,1125,5,1,0
240,Ship,4,3,187,2,low,F,58,3665,5,1,0
241,Ship,4,4,166,5,low,F,54,1203,5,1,0
242,Ship,4,5,178,3,low,F,48,1819,5,1,0
243,Ship,3,1,167,2,high,F,34,1967,5,1,0
244,Ship,4,4,224,3,high,M,60,3145,5,1,0
245,Ship,4,4,158,3,medium,M,11,1224,5,1,0
246,Ship,3,4,134,2,medium,M,43,1198,5,1,0
247,Ship,4,2,147,2,medium,F,20,1387,5,1,0
248,Ship,4,3,187,3,low,M,61,2207,5,1,0
249,Ship,4,5,247,2,medium,F,18,2404,5,1,0
250,Ship,5,4,182,4,high,M,20,2212,5,1,0
251,Ship,4,1,177,4,medium,F,33,1049,5,1,0
252,Ship,5,5,143,2,high,F,18,1066,5,1,0
253,Ship,5,3,245,2,medium,F,8,3231,5,1,0
254,Ship,4,1,133,4,medium,M,64,1834,5,1,0
255,Ship,3,5,224,2,low,M,13,3891,5,1,0
256,Ship,2,5,265,2,low,F,50,3859,5,1,0
257,Ship,4,1,138,2,low,M,28,1528,5,1,0
258,Ship,3,4,253,3,low,M,6,3788,5,1,0
259,Ship,4,1,165,3,medium,M,51,1293,5,1,0
260,Ship,4,3,265,3,low,F,65,3578,5,1,0
261,Ship,3,2,238,3,high,F,54,3142,5,1,0
262,Ship,5,2,236,3,low,F,51,3402,6,1,0
263,Ship,4,2,190,5,high,F,38,3022,6,1,0
264,Ship,6,1,104,4,medium,F,23,1442,6,1,0
265,Ship,4,5,245,2,low,F,19,2616,6,1,0
266,Ship,3,1,155,3,medium,F,27,1022,6,1,0
267,Ship,3,2,233,3,low,M,63,2143,6,1,0
268,Ship,4,3,171,4,low,F,55,1539,6,1,0
269,Ship,2,3,164,2,low,M,56,1491,6,1,0
270,Ship,3,1,141,3,low,M,6,1361,6,1,0
271,Ship,5,3,266,2,low,F,61,2118,6,1,0
272,Ship,3,4,192,2,low,F,56,3765,6,1,0
273,Ship,3,3,229,6,medium,F,61,2298,6,1,0
274,Ship,6,2,269,4,medium,M,38,3171,6,1,0
275,Ship,3,4,247,4,low,M,59,2939,6,1,0
276,Ship,4,4,157,2,low,F,2,1087,6,1,0
277,Ship,3,2,148,3,medium,F,64,1280,6,1,0
278,Ship,4,1,240,2,low,M,14,2437,6,1,0
279,Ship,4,3,197,4,medium,M,58,3617,6,1,0
280,Ship,6,4,121,5,low,M,23,1734,6,1,0
281,Ship,4,2,124,3,high,M,60,1107,6,1,0
282,Ship,4,2,153,3,medium,F,53,1185,6,1,0
283,Ship,5,2,105,4,high,M,1,1622,6,1,0
284,Ship,4,3,202,3,medium,M,2,3962,6,1,0
285,Ship,5,4,162,2,low,F,54,1635,6,1,0
286,Ship,3,4,164,3,medium,M,13,1158,6,1,0
287,Ship,3,2,231,4,medium,M,48,3370,6,1,0
288,Ship,5,2,209,4,medium,F,12,2933,6,1,0
289,Ship,3,1,157,2,high,M,19,1898,6,1,0
290,Ship,4,5,249,2,low,M,4,2725,6,1,0
291,Ship,2,3,264,2,low,F,63,2896,6,1,0
292,Ship,3,1,111,4,low,M,61,1844,6,1,0
293,Ship,3,1,242,3,medium,F,10,3606,6,1,0
294,Road,4,4,169,3,low,M,23,1058,6,1,0
295,Road,5,3,138,2,low,M,13,1056,6,1,0
296,Road,5,1,158,3,low,M,9,1483,6,1,0
297,Road,5,3,146,4,low,M,5,1718,6,1,0
298,Road,4,4,218,5,medium,F,36,2995,6,1,0
299,Road,3,2,178,2,medium,F,22,1247,6,1,0
300,Road,4,5,197,3,low,F,34,3784,6,1,0
301,Road,3,3,243,2,medium,M,17,3230,6,1,0
302,Road,5,2,254,4,high,M,37,2608,6,1,0
303,Road,3,1,237,4,low,M,33,2782,6,1,0
304,Road,5,1,179,3,low,F,62,1945,6,1,0
305,Road,3,2,189,3,medium,M,38,2108,6,1,0
306,Road,4,3,244,3,medium,M,1,3982,6,1,0
307,Road,3,3,266,2,medium,M,46,3594,6,1,0
308,Road,5,4,263,3,high,M,10,2538,6,1,0
309,Road,3,2,247,2,medium,M,39,3189,6,1,0
310,Road,4,5,202,3,low,F,6,2616,6,1,0
311,Road,4,4,227,3,medium,F,1,2761,6,1,0
312,Road,4,5,189,2,low,F,15,2457,6,1,0
313,Road,6,4,160,2,low,F,31,1689,6,1,0
314,Road,3,3,117,3,medium,M,56,1618,6,1,0
315,Road,3,1,202,2,high,M,52,2312,6,1,0
316,Flight,4,3,201,3,medium,F,54,2487,6,1,0
317,Flight,3,4,273,2,medium,F,39,2651,6,1,0
318,Flight,4,4,143,2,medium,M,58,1038,6,1,0
319,Flight,4,5,137,4,high,M,29,1262,6,1,0
320,Flight,5,5,236,3,high,M,34,3455,6,1,0
321,Flight,4,2,241,2,low,M,17,3844,6,1,0
322,Flight,4,2,187,2,low,F,6,3625,6,1,0
323,Flight,4,5,273,2,high,M,63,3516,6,1,0
324,Flight,5,2,170,3,low,M,15,1314,6,1,0
325,Flight,3,5,138,3,low,F,37,1266,6,1,0
326,Flight,5,4,150,2,low,M,60,1034,6,1,0
327,Flight,5,5,140,3,high,F,42,1384,6,1,0
328,Flight,4,1,250,2,low,M,17,3544,6,1,0
329,Flight,3,3,207,7,medium,M,19,2182,6,1,0
330,Flight,4,4,214,3,low,M,36,2684,6,1,0
331,Flight,4,1,179,3,low,M,63,1215,6,1,0
332,Flight,5,1,149,4,medium,F,20,1110,6,1,0
333,Flight,3,5,151,2,low,F,16,1422,6,1,0
334,Flight,4,3,264,3,medium,M,23,2376,2,2,0
335,Flight,6,5,113,3,high,M,31,1037,2,2,0
336,Flight,6,1,281,3,medium,F,36,2536,2,2,0
337,Flight,4,2,197,7,medium,M,43,3730,2,2,0
338,Ship,3,4,265,8,low,F,35,3299,2,2,0
339,Ship,4,2,259,3,low,F,47,3764,2,2,0
340,Ship,5,1,200,8,low,F,18,3806,2,2,0
341,Ship,2,4,111,2,high,M,60,1787,2,2,0
342,Ship,3,5,223,3,medium,M,53,3670,2,2,0
343,Ship,3,3,241,3,low,M,5,2713,2,2,0
344,Ship,4,1,139,3,low,F,25,1152,2,2,0
345,Ship,7,1,192,3,low,M,38,1372,2,2,0
346,Ship,3,4,117,3,medium,M,23,1527,2,2,0
347,Ship,3,1,202,2,high,F,21,3120,2,2,0
348,Ship,4,2,201,3,medium,F,39,2066,2,2,0
349,Ship,3,3,273,2,medium,F,16,2466,2,2,0
350,Ship,4,3,143,2,medium,F,64,1910,2,2,0
351,Ship,4,1,137,4,high,M,15,1391,2,2,0
352,Ship,5,3,236,3,high,F,47,3519,2,2,0
353,Ship,4,1,241,2,low,F,39,2935,2,2,0
354,Ship,4,5,187,2,low,M,44,3218,2,2,0
355,Ship,4,3,273,2,high,M,43,3462,2,2,0
356,Ship,5,3,170,3,low,F,12,1018,2,2,0
357,Ship,3,4,138,3,low,F,54,1648,2,2,0
358,Ship,5,3,150,2,low,M,2,1682,2,2,0
359,Ship,5,4,140,3,high,F,56,1332,3,2,0
360,Ship,4,3,250,2,low,F,46,2878,3,2,0
361,Ship,3,4,207,7,medium,F,46,2670,3,2,0
362,Ship,4,2,214,3,low,F,18,2574,3,2,0
363,Ship,4,3,179,3,low,M,45,1903,3,2,0
364,Ship,5,2,149,4,medium,M,48,1068,3,2,0
365,Ship,3,1,151,2,low,F,4,1748,3,2,0
366,Ship,4,5,264,3,medium,M,16,2245,3,2,0
367,Ship,6,5,113,3,high,F,35,1402,3,2,0
368,Ship,6,3,281,3,medium,M,11,2135,3,2,0
369,Ship,4,4,197,7,medium,F,22,2065,3,2,0
370,Ship,3,4,265,8,low,M,2,3622,3,2,0
371,Ship,4,1,259,3,low,M,39,2427,3,2,0
372,Ship,5,3,200,8,low,F,9,2741,3,2,0
373,Ship,2,1,111,2,high,F,10,1920,3,2,0
374,Ship,3,2,223,3,medium,F,6,2127,3,2,0
375,Ship,3,2,241,3,low,M,22,3030,3,2,0
376,Ship,4,5,139,3,low,F,65,1277,3,2,0
377,Ship,7,4,192,3,low,F,33,1694,3,2,0
378,Ship,3,5,180,4,medium,F,59,1481,3,2,0
379,Ship,3,3,153,5,low,M,35,1089,3,2,0
380,Ship,2,4,280,4,low,M,48,1463,3,2,0
381,Ship,7,5,243,5,medium,M,28,1100,3,2,0
382,Ship,3,4,214,2,low,M,50,3881,3,2,0
383,Ship,4,4,177,2,low,M,6,1112,3,2,0
384,Ship,3,2,182,3,medium,F,39,3828,3,2,0
385,Ship,4,5,185,3,medium,M,17,2824,3,2,0
386,Ship,3,3,143,3,medium,M,23,1281,3,2,0
387,Ship,3,3,162,3,medium,M,7,1901,3,2,0
388,Ship,3,1,171,2,low,M,34,1999,3,2,0
389,Ship,5,1,227,3,low,F,14,2589,3,2,0
390,Ship,3,5,205,6,low,F,25,2232,3,2,0
391,Ship,3,5,258,3,low,M,17,3033,3,2,0
392,Ship,4,5,195,5,medium,F,10,3537,3,2,0
393,Ship,4,1,224,2,low,M,8,3638,4,2,0
394,Ship,2,5,192,6,low,F,41,2673,4,2,0
395,Ship,3,3,202,3,medium,F,35,3986,4,2,0
396,Ship,5,3,235,2,medium,F,12,3358,4,2,0
397,Ship,3,4,218,3,low,M,22,3818,4,2,0
398,Ship,6,5,176,4,medium,M,31,1262,4,2,0
399,Ship,3,3,221,2,medium,F,26,3120,4,2,0
400,Ship,3,4,157,3,low,F,32,1370,4,2,0
401,Ship,4,2,259,4,low,F,13,2495,4,2,0
402,Ship,2,1,249,3,low,M,11,2534,4,2,0
403,Ship,4,1,263,5,low,F,62,2292,4,2,0
404,Ship,4,3,141,3,low,F,2,1915,4,2,0
405,Ship,4,1,114,3,medium,F,9,1240,4,2,0
406,Ship,3,4,179,4,low,F,44,1004,4,2,0
407,Ship,4,3,179,3,medium,M,40,1584,4,2,0
408,Ship,3,5,193,3,low,F,47,3523,4,2,0
409,Ship,3,2,137,3,medium,F,23,1246,4,2,0
410,Ship,3,5,110,3,low,M,55,1875,4,2,0
411,Ship,3,1,270,3,medium,F,61,3582,4,2,0
412,Ship,5,1,175,3,medium,F,64,1110,4,2,0
413,Ship,5,1,234,2,low,M,12,2372,4,2,0
414,Ship,2,4,177,3,medium,M,48,1113,4,2,0
415,Ship,3,4,153,2,low,F,24,1442,4,2,0
416,Ship,4,5,252,3,low,M,16,2332,4,2,0
417,Ship,2,4,122,2,low,F,32,1213,4,2,0
418,Ship,4,5,215,2,medium,F,34,2258,4,2,0
419,Ship,3,3,140,4,low,F,47,1207,4,2,0
420,Ship,3,1,209,2,low,M,43,2237,4,2,0
421,Ship,2,3,144,3,high,M,40,1500,4,2,0
422,Ship,4,2,210,3,low,M,16,2046,4,2,0
423,Ship,5,1,160,3,medium,F,22,1693,4,2,0
424,Ship,5,4,134,2,low,F,20,1549,4,2,0
425,Ship,3,2,138,3,medium,F,34,1159,4,2,0
426,Ship,4,3,200,2,medium,M,65,3485,5,2,0
427,Ship,5,4,133,2,medium,M,30,1161,5,2,0
428,Ship,2,4,121,5,low,M,32,1788,5,2,0
429,Ship,4,3,257,3,medium,M,5,2489,5,2,0
430,Ship,4,5,255,4,low,M,14,3099,5,2,0
431,Road,4,1,158,3,low,F,32,1061,5,2,0
432,Road,4,4,248,4,low,F,49,2322,5,2,0
433,Road,2,3,194,4,medium,M,65,3795,5,2,0
434,Road,4,3,184,3,medium,F,19,2774,5,2,0
435,Road,5,5,249,4,medium,F,38,2797,5,2,0
436,Road,5,5,170,2,medium,F,36,1278,5,2,0
437,Road,3,4,261,2,medium,F,1,3398,5,2,0
438,Road,3,2,262,2,low,F,26,2370,5,2,0
439,Road,4,4,224,3,medium,M,9,2952,5,2,0
440,Road,3,4,130,2,medium,F,42,1213,5,2,0
441,Road,4,1,133,3,low,M,57,1379,5,2,0
442,Road,3,1,145,4,low,F,58,1751,5,2,0
443,Road,2,4,136,6,low,F,53,1213,5,2,0
444,Road,4,5,163,5,low,M,24,1658,5,2,0
445,Road,3,3,183,3,low,F,45,2181,5,2,0
446,Road,5,3,216,3,medium,F,1,2434,5,2,0
447,Road,4,1,182,3,medium,M,28,2005,5,2,0
448,Road,4,5,191,3,low,F,19,2392,5,2,0
449,Road,3,2,140,2,high,F,7,1401,5,2,0
450,Road,4,4,161,3,high,F,59,1165,5,2,0
451,Road,4,2,200,4,low,M,43,2747,5,2,0
452,Road,4,1,176,3,medium,F,36,1891,5,2,0
453,Flight,5,2,247,3,low,M,32,3645,5,2,0
454,Flight,3,4,262,2,low,M,15,3287,5,2,0
455,Flight,4,5,154,2,low,F,49,1532,5,2,0
456,Flight,3,1,186,3,medium,F,11,3800,5,2,0
457,Flight,2,1,98,3,low,F,29,1806,6,2,0
458,Flight,3,3,268,3,low,F,33,3872,6,2,0
459,Flight,5,3,178,2,medium,F,60,1830,6,2,0
460,Flight,3,1,142,2,high,M,18,1428,6,2,0
461,Flight,4,5,160,3,low,M,33,1837,6,2,0
462,Flight,5,2,232,2,medium,M,24,2174,6,2,0
463,Flight,4,2,209,2,low,F,23,2533,6,2,0
464,Flight,4,2,230,3,medium,M,33,3602,6,2,0
465,Flight,5,4,223,3,low,F,40,2074,6,2,0
466,Flight,4,4,201,3,high,F,7,2644,6,2,0
467,Flight,3,5,224,3,medium,F,20,2937,6,2,0
468,Flight,2,3,251,3,low,F,2,3351,6,2,0
469,Flight,3,4,145,6,medium,M,57,1949,6,2,0
470,Flight,5,4,271,3,medium,F,16,2563,6,2,0
471,Flight,3,5,218,4,medium,M,60,3048,6,2,0
472,Flight,3,4,229,2,low,M,51,2628,6,2,0
473,Flight,5,2,278,2,low,F,17,2493,6,2,0
474,Flight,2,4,168,3,low,F,15,1886,6,2,0
